ACSN,W15LH,W1LH,W15RH,W1RH,WCT4,WCT10,WSAFLH,WSAFRH,FIF6,AIF9,AIF12,AIF51,HS1LLH,HS1ULH,HS1LRH,HS1URH,VS2LH,AF1LH,NAC6LH,NAC4LH,NAC6RH,NAC4RH,AF1RH,VS2RH,MLG1,MLG2,MLG3
B1B860108,20746.0,10381.0,20766.0,10381.0,101531.44114636643,43973.125,105987.0,105990.0,33252.31444759207,176716.10185185185,160381.0,164017.61760184474,162376.0,162376.0,159861.0,130264.0,160381.0,160381.0,145039.7632398754,148386.69444444444,145039.7632398754,148386.69444444444,160381.0,160381.0,,,
B1B860109,21252.0,12136.0,21272.0,12136.0,90755.56192425794,43258.57094594595,99587.0,99587.0,33420.16430594901,160721.62037037036,162136.0,165812.41199077634,0.0,0.0,0.0,0.0,162136.0,162136.0,139155.96261682245,150010.44444444444,139155.96261682245,150010.44444444444,162136.0,162136.0,,,
B1B860110,21044.0,8184.0,21044.0,8184.0,81010.01228249745,35866.47972972973,89815.0,89816.0,22255.68838526912,133298.7314814815,157993.0,161575.4700230592,159499.0,88584.0,161981.0,97784.0,157993.0,157993.0,115732.61059190033,146177.2841880342,115732.61059190033,146177.2841880342,157993.0,157993.0,,,
B1B860111,27260.0,13524.0,27275.0,13524.0,102401.91606960083,46373.67229729729,98805.0,98805.0,30056.059490084986,178728.08333333334,162207.0,165885.021906226,161265.0,161265.0,159112.0,148076.0,162207.0,162207.0,162816.9968847352,150076.13461538462,162816.9968847352,150076.13461538462,162207.0,162207.0,,,
B1B860112,25157.0,12347.0,25231.0,12347.0,86440.88229273286,44063.18243243243,100167.0,100167.0,28443.16997167139,137099.0185185185,162155.0,165831.8428132206,158697.0,85995.0,160454.0,79334.0,162155.0,162155.0,116764.89719626169,150028.0235042735,116764.89719626169,150028.0235042735,162155.0,162155.0,,,
B1B860113,25155.0,11988.0,25238.0,11988.0,102822.14534288639,45313.65202702703,103743.0,103743.0,30179.623229461755,177376.11111111112,160980.0,164630.19984627212,159028.0,159028.0,158630.0,140489.0,160980.0,160980.0,160018.4049844237,148940.89743589744,160018.4049844237,148940.89743589744,160980.0,160980.0,,,
B1B860114,4045.0,4045.0,4045.0,4045.0,2823.633572159673,5971.841216216216,4045.0,4045.0,2211.57223796034,4456.990740740741,4045.0,4136.719830899308,4732.0,4732.0,4986.0,4986.0,4045.0,4045.0,9425.732087227416,3742.4893162393164,9425.732087227416,3742.4893162393164,4045.0,4045.0,,,
B1B860115,20721.0,12486.0,20727.0,12486.0,93484.25997952918,44760.020270270266,104614.0,104616.0,28119.498583569406,161392.64814814815,162486.0,166170.34819369717,156092.0,137409.0,156968.0,9339.0,162486.0,162486.0,142947.22741433023,150334.26923076925,142947.22741433023,150334.26923076925,162486.0,162486.0,,,
B1B860116,6896.0,6896.0,6896.0,6896.0,4813.789150460594,10180.918918918918,6896.0,6896.0,3770.3342776203967,7598.37037037037,6896.0,7052.365872405842,7217.0,7217.0,7615.0,7615.0,6896.0,6896.0,16069.183800623056,6380.273504273505,16069.183800623056,6380.273504273505,6896.0,6896.0,,,
B1B860117,20710.0,10925.0,20718.0,10925.0,85414.04298874106,42975.11148648649,97297.0,97303.0,21200.475920679888,135338.25925925927,160925.0,164573.95272867027,159525.0,94998.0,159623.0,70131.0,160925.0,160925.0,106360.47352024923,148890.0106837607,106355.81308411216,148890.0106837607,160925.0,160925.0,,,
B1B860118,20010.0,9667.0,20029.0,9667.0,89954.19447287616,40748.77364864865,96969.0,96969.0,27065.379603399433,157877.74074074073,159667.0,163287.42774788625,161289.0,110811.0,157061.0,134369.0,159667.0,159667.0,135015.16510903428,147726.09188034188,135015.16510903428,147726.09188034188,159667.0,159667.0,,,
B1B860119,19511.0,8392.0,19519.0,8392.0,81324.13715455476,36203.08783783784,96235.0,96235.0,25830.288951841358,134362.0185185185,158392.0,161983.51729438893,161600.0,83959.0,159589.0,84467.0,158392.0,158392.0,110671.37694704051,146546.44444444444,110671.37694704051,146546.44444444444,158392.0,158392.0,,,
B1B860120,23268.0,9943.0,23269.0,9943.0,101025.35107471854,43263.0,105404.0,105404.0,30491.26628895184,176233.49074074073,159943.0,163569.68601076095,160359.0,159379.0,160359.0,158496.0,159943.0,159943.0,160833.98130841122,147981.45085470087,160833.98130841122,147981.45085470087,159943.0,159943.0,,,
